Title,Publication Year,Total Citations
Impulse Buying: Design Practices And Consumer Needs,2019,1
Some Prior(S) Experience Necessary Templates For Getting Started With Bayesian Analysis,2019,0
"A Spaced, Interleaved Retrieval Practice Tool That Is Motivating And Effective",2019,0
Community Commerce: Facilitating Trust In Mom-To-Mom Sale Groups On Facebook,2017,8
No Such Thing As Too Much Chocolate: Evidence Against Choice Overload In E-Commerce,2017,2
Recommender Systems-Beyond Matrix Completion,2016,31
"It'S Creepy, But It Doesn'T Bother Me",2016,16
Multiple Queries As Bandit Arms,2016,3
Enquiring Minds: Early Detection Of Rumors In Social Media From Enquiry Posts,2015,103
Hypothetical Outcome Plots Outperform Error Bars And Violin Plots For Inferences About Reliability Of Variable Ordering,2015,25
Effects Of Public Commitments And Accountability In A Technology-Supported Physical Activity Intervention,2015,19
What Social Media Data We Are Missing And How To Get It,2015,1
Req-Rec: High Recall Retrieval With Query Pooling And Interactive Classification,2014,11
Including Hci And User Experience (Ux) Methodologies In Computing Curricula,2014,0
How Do I Find And Work Productively With A Computer Scientist? A Panel Discussion On Working Across The Disciplinary Divide For Developing Behavior Change Technologies,2013,0
Building Successful Online Communities: Evidence-Based Social Design,2011,211
Encouraging Contribution To Online Communities,2011,35
Resisting Political Fragmentation On The Internet,2011,24
Encouraging Commitment In Online Communities,2011,24
Regulating Behavior In Online Communities,2011,14
The Challenges Of Dealing With Newcomers,2011,7
Starting New Online Communities,2011,5
Building Successful Online Communities Evidence-Based Social Design Introduction,2011,3
Presenting Diverse Political Opinions: How And How Much,2010,63
Happier Together: Integrating A Wellness Application Into A Social Network Site,2010,30
Educational Priorities For Technology-Mediated Social Participation,2010,3
I Scratched Yours: The Prevalence Of Reciprocation In Feedback Provision On Ebay,2010,3
Sybilproof Transitive Trust Protocols,2009,6
Eliciting Informative Feedback: The Peer-Prediction Method,2009,2
The Information Cost Of Manipulation-Resistance In Recommender Systems,2008,13
Conversation Pivots And Double Pivots,2008,1
Three Recommender Approaches To Interface Controls Reduction,2008,0
Manipulation-Resistant Reputation Systems,2007,37
Follow The Reader: Filtering Comments On Slashdot,2007,28
The Influence Limiter: Provably Manipulation-Resistant Recommender Systems,2007,25
The Value Of Reputation On Ebay: A Controlled Experiment,2006,402
Eliciting Informative Feedback: The Peer-Prediction Method,2005,175
Using Social Psychology To Motivate Contributions To Online Communities,2005,167
The Social Cost Of Cheap Pseudonyms,2001,244
Reputation Systems,2000,1029
The Market For Evaluations,1999,94
Zoning Speech On The Internet: A Legal And Technical Model,1999,25
The Architectures Of Mandated Access Controls,1999,0
Recommender Systems,1997,1552
Referee: Trust Management For Web Applications,1997,69
Managing Trust In An Information-Labeling System,1997,5
Filtering Information On The Internet,1997,4
Pics: Internet Access Controls Without Censorship,1996,66
Roles For Electronic Brokers,1995,3
