name,type,description
Fried Plantains,Starter,Sliced ripe plantains lightly fried (powdered sugar available upon request)
Jerk Wings,Starter,Grilled chicken wings seasoned with a special blend of island spices
Jerk BBQ Wings,Starter,Seasoned grilled chicken wings smothered in Jerk BBQ sauce
Veggie Nachos,Starter,"Crisp nacho chips topped with diced peppers, onions and cheddar cheese, served with a pineapple garnish"
Jerk Chicken Nachos,Starter,"Crisp nacho chips topped with diced Jerk chicken, peppers, onions and cheddar cheese, served with a pineapple garnish"
Jerk Pork Nachos,Starter,
Jerk Tofu Nachos,Starter,
Plantain Boat with Chicken,Starter,"Ripe plantains, topped with diced Jerk chicken, peppers, onions and cheddar cheese"
Vegetable Fritters,Starter,"A mixture of flour, diced onions and peppers, then fried to perfection, served with a Jerk ranch sauce"
Codfish Fritters,Starter,"A mixture of flour, salted codfish, diced onions and peppers, then fried to perfection, served with a Jerk ranch sauce"
Coconut Shrimp,Starter,"Butterfly shrimp coated with a sweet coconut flavored batter and coconut bread crumbs, served with a homemade pineapple dipping sauce"
Caesar Salad,Greens,"Crisp romaine lettuce topped with parmesan cheese, garlic croutons and creamy Caesar dressing"
Jerk Chicken Caesar Salad,Greens,"Crisp romaine topped with Jerk chicken, parmesan cheese, garlic croutons and creamy Caesar dressing"
Tropical Salad,Greens,"Crisp romaine lettuce topped with pineapple, carrots, peppers, cucumbers and mango chardonnay vinaigrette"
Jerk Chicken Tropical Salad,Greens,"Crisp romaine topped with Jerk chicken, pineapple, carrots, peppers, cucumbers and mango chardonnay dressing"
Jerk Chicken or Jerk Wings,Entree,Chicken quarters or chicken wings seasoned with a special blend of island spices (Add $1.00 for all white meat)
Curry Chicken,Entree,"Chunks of chicken breast seasoned with a blend of curry powder, then simmered with chunks of onions, fresh thyme, carrots and potatoes"
Jerk Pork,Entree,Tender pork seasoned with a special blend of island spices
Curry Goat (Halal),Entree,"Chunks of goat meat seasoned with a blend of curry powder, then simmered with chunks of onions, fresh thyme, carrots and potatoes"
Oxtail,Entree,"Oxtail (bone-in) stewed with carrots, potatoes and a blend of island spices"
Escovitch Tilapia,Entree,"Tilapia fillet seasoned with island spices, then simmered with onions, peppers, carrots and a hint of vinegar"
Coconut Shrimp,Entree,"Butterfly shrimp coated with a sweet coconut flavored batter and coconut bread crumbs, served with a homemade pineapple dipping sauce"
Jerk Tofu,Entree,"Firm tofu marinated in Jerk seasonings, then grilled to perfection"
Vegetarian Delight,Entree,"Choice of callaloo sauteed with onions and peppers or a house-blend of sauteed vegetables, served with plantains and choice of rice and peas, white rice or seasoned fried red skin potatoes"
Jerk Chicken Pasta,Entree,"Bow-tie pasta tossed in a Jerk cream sauce, then topped with sliced Jerk chicken breast and parmesan cheese, served with warm pita bread"
Jerk Pork Pasta,Entree,
Jerk Tofu Pasta,Entree,
Vegetarian Pasta,Entree,
Beef Patties and Veggie Patties,Side,
Coco Bread,Side,
Rice and Peas (Cooked in coconut milk),Side,
White Rice,Side,
Fried Dumplings (6 pieces-no meat),Side,
Festivals (4 pieces),Side,
Fried Seasoned Red Skin Potatoes,Side,
House-blend of Sauteed Vegetables,Side,
Curry Vegetables,Side,
Dessert of the Day,Dessert,
Jerk Chicken Sandwich,Sandwich,"Grilled chicken breast seasoned with island spices, served on a toasted kaiser roll"
Jerk Tofu Sandwich,Sandwich,
Jerk Pork Sandwich,Sandwich,"Grilled pork seasoned with island spices, served on a toasted kaiser roll"
Jerk Burger/Cheeseburger,Sandwich,"Grilled ground beef patty smothered in Jerk sauce, served on a toasted kaiser roll"
Tilapia Sandwich,Sandwich,"Tilapia fillet seasoned with island spices, served on a toasted kaiser roll"
Jerk Chicken Pita,Wrap,"Seasoned grilled Jerk chicken strips with sauteed onions and peppers, served on a warm pita"
Jerk Pork Pita,Wrap,"Seasoned grilled Jerk pork strips with sauteed onions and peppers, served on a warm pita"
Vegetarian Pita,Wrap,"House-blend of sauteed vegetables, served on a warm pita"
Tropical Chicken Wrap,Wrap,"Seasoned grilled Jerk chicken, with crisp romaine, pineapple and parmesan cheese, tossed in a mango chardonnay dressing, served in a wheat tortilla wrap"
Chicken Caesar Wrap,Wrap,"Seasoned grilled Jerk chicken, with crisp romaine and parmesan cheese, tossed in a creamy Caesar dressing, served in a wheat tortilla wrap"
Vegetarian Wrap,Wrap,"House-blend of sauteed vegetables, served in a wheat tortilla wrap"
Curry Chicken Roti,Roti,
Curry Goat Roti,Roti,
Curry Vegetable Roti,Roti,
Roti Skin,Roti,
Coke Products,Beverage,
Mexican Coke Products,Beverage,
D&G Soft Drinks (bottle),Beverage,
Ting or Ginger Beer,Beverage,
Coconut Water,Beverage,
Tropical Juices (bottle),Beverage,
Tropical Smoothies,Beverage,
BBQ Sauce,Sauce,
Ranch,Sauce,
Caesar,Sauce,
Mango Chardonnay,Sauce,
Pineapple Dipping Sauce,Sauce,
Scotch Bonnet Pepper Sauce,Sauce,
Jerk Sauce,Sauce,
Jerk Chicken for 2,Meals,
Jerk Chicken with Curry Goat or Jerk Pork,Meals,
Curry Chicken for 2,Meals,
Jerk Tofu for 2,Meals,
Vegetarian for 2 (served with plantains),Meals,
Jerk Chicken and Jerk Pork,Combo,
Jerk Chicken and Curry Goat,Combo,
Jerk Chicken and Oxtail,Combo,
Curry Goat and Oxtail,Combo,
